livro_id,titulo,autor,genero,ano_de_publicacao,isbn,quantidade_total,quantidade_disponivel,quantidade_indisponivel,status
2,"A Jornada dos Ecos","Helena Silva","Ficção Científica",2022,978-1-2345-6789-0,1,1,0,"disponível"
3,"O Último Guardião do Tempo","João Pereira",Fantasia,2019,978-1-2345-6789-1,1,1,0,"disponível"
4,"A Ilha das Sombras","Lucas Santana","Mistério",2021,978-1-2345-6789-2,2,2,0,"disponível"
5,"Entre as Estrelas","Mariana Rocha",Romance,2020,978-1-2345-6789-3,1,1,0,"disponível"
6,"A Fuga da Névoa","Carlos Almeida",Aventura,2023,978-1-2345-6789-4,1,1,0,"disponível"
7,"Os Segredos de Avalon","Beatriz Oliveira","Fantasia Épica",2018,978-1-2345-6789-5,1,1,0,"disponível"
8,"O Coração do Labirinto","Eduardo Martins",Suspense,2022,978-1-2345-6789-6,1,1,0,"disponível"
9,"Exemplo de Título","Autor Exemplo","Ficção",2024,1234567890123,1,1,0,"disponível"
10,"As Sombras de Lúmen","Clara Estrelas",Fantasia,2021,123-12-123-1234-1,1,1,0,"disponível"
13,"O peso da glória","C. S. Lewis",Teologia,2017,9788578600655,1,1,0,"disponível"
14,"Guia de Medicamentos","José Jardes de Gama Bitencourt",Farmacologia,2017,9788555672286,1,1,0,"disponível"
15,"Eu e Deus","Livrarias Família Cristã",Deus,2021,9786559963126,1,1,0,"disponível"
16,"Agenda 2024",Foroni,Agenda,2024,7908077462628,4,4,0,"disponível"
17,"Esperança para a Família","Willie e Elaine Oliver","Adventistas do Sétimo Dia",2019,9788534525916,1,1,0,"disponível"
18,"A Maior Esperança","Luís Gonçalves,Diogo Cavalcanti","Esperança",2019,9788534527309,1,1,0,"disponível"
